"id","state","year","value"
"ac2008","ac",2008,132197598.16
"al2008","al",2008,327753496
"am2008","am",2008,11354233.35
"ap2008","ap",2008,26927969
"ba2008","ba",2008,1677873756.68
"ce2008","ce",2008,691965863.56
"df2008","df",2008,929445075.99
"es2008","es",2008,1018946304.63
"go2008","go",2008,335154582.5
"ma2008","ma",2008,333106020.45
"mg2008","mg",2008,1383485054.65
"ms2008","ms",2008,32139808.23
"mt2008","mt",2008,664170979.19
"pa2008","pa",2008,557974489.54
"pb2008","pb",2008,386027377.59
"pe2008","pe",2008,1745458410.92
"pi2008","pi",2008,396735178.62
"pr2008","pr",2008,63596461.94
"rj2008","rj",2008,6477638000
"rn2008","rn",2008,585573628.7
"ro2008","ro",2008,129522722.59
"rr2008","rr",2008,15304486.79
"rs2008","rs",2008,375240012.1
"sc2008","sc",2008,751780085.33
"se2008","se",2008,526339764.01
"sp2008","sp",2008,11266871787.57
"to2008","to",2008,105990434.27
"ac2009","ac",2009,157564411.14
"al2009","al",2009,348084231.08
"am2009","am",2009,22092459.21
"ap2009","ap",2009,41016028
"ba2009","ba",2009,1950407504.89
"ce2009","ce",2009,775726668.29
"df2009","df",2009,1158120171.61
"es2009","es",2009,1152273036.17
"go2009","go",2009,347998745.98
"ma2009","ma",2009,310506208.03
"mg2009","mg",2009,1788452227.09
"ms2009","ms",2009,32867545.32
"mt2009","mt",2009,725379132.56
"pa2009","pa",2009,613612922.54
"pb2009","pb",2009,463527243.29
"pe2009","pe",2009,1864816580.48
"pi2009","pi",2009,380221874.83
"pr2009","pr",2009,101736983.64
"rj2009","rj",2009,7036211000
"rn2009","rn",2009,568430060.1
"ro2009","ro",2009,215842506.83
"rr2009","rr",2009,4476950.64
"rs2009","rs",2009,394700927.01
"sc2009","sc",2009,1137862370.98
"se2009","se",2009,680278058.94
"sp2009","sp",2009,12222964000
"to2009","to",2009,125798915.09
"ac2010","ac",2010,182403798.5
"al2010","al",2010,135863047.56
"am2010","am",2010,26039513.15
"ap2010","ap",2010,33895894
"ba2010","ba",2010,2107122758.31
"ce2010","ce",2010,624280407.11
"df2010","df",2010,1461073984.4
"es2010","es",2010,1315508954.92
"go2010","go",2010,408785514.42
"ma2010","ma",2010,423126096.28
"mg2010","mg",2010,1886228403.13
"ms2010","ms",2010,25703751.83
"mt2010","mt",2010,930190741.42
"pa2010","pa",2010,743922888.44
"pb2010","pb",2010,493699584.52
"pe2010","pe",2010,2260540703.94
"pi2010","pi",2010,441334157.22
"pr2010","pr",2010,112854248.2
"rj2010","rj",2010,7956738111
"rn2010","rn",2010,658746122.73
"ro2010","ro",2010,206483277.48
"rr2010","rr",2010,3974276.41
"rs2010","rs",2010,428882316.82
"sc2010","sc",2010,917242873.59
"se2010","se",2010,892586041.1
"sp2010","sp",2010,13367526107.95
"to2010","to",2010,162300202.53
"ac2011","ac",2011,227055862.98
"al2011","al",2011,77256537.51
"am2011","am",2011,428294287.8
"ap2011","ap",2011,25248338
"ba2011","ba",2011,2266233432.5
"ce2011","ce",2011,567375853.58
"df2011","df",2011,1689303688.09
"es2011","es",2011,1643754681.16
"go2011","go",2011,523361801.38
"ma2011","ma",2011,461002227.03
"mg2011","mg",2011,6441285511.16
"ms2011","ms",2011,58710351.1
"mt2011","mt",2011,1138586290.8
"pa2011","pa",2011,869428530.39
"pb2011","pb",2011,645645046.82
"pe2011","pe",2011,2275086123.96
"pi2011","pi",2011,568401887.06
"pr2011","pr",2011,93952003.04
"rj2011","rj",2011,9151409565
"rn2011","rn",2011,768226830.18
"ro2011","ro",2011,224584881.42
"rr2011","rr",2011,26998716.02
"rs2011","rs",2011,483594469.49
"sc2011","sc",2011,1120001239.28
"se2011","se",2011,1038880411.16
"sp2011","sp",2011,15375895688.67
"to2011","to",2011,327943088.13
"ac2012","ac",2012,267678539.03
"al2012","al",2012,82962835.91
"am2012","am",2012,405637675
"ap2012","ap",2012,69587554
"ba2012","ba",2012,2615324900.09
"ce2012","ce",2012,714436110
"df2012","df",2012,1659061124.15
"es2012","es",2012,1834079713.86
"go2012","go",2012,525204440.17
"ma2012","ma",2012,532189533.78
"mg2012","mg",2012,7427047278.18
"ms2012","ms",2012,38544052.99
"mt2012","mt",2012,1404842682.67
"pa2012","pa",2012,1149681430.48
"pb2012","pb",2012,679556302.17
"pe2012","pe",2012,2617036649.02
"pi2012","pi",2012,561988469.95
"pr2012","pr",2012,139389850.06
"rj2012","rj",2012,10604350252
"rn2012","rn",2012,871273377.99
"ro2012","ro",2012,256386827.37
"rr2012","rr",2012,30513989.25
"rs2012","rs",2012,9543650471.85
"sc2012","sc",2012,1073247562.99
"se2012","se",2012,1072664850.64
"sp2012","sp",2012,18421462061.9
"to2012","to",2012,308760743.3
"ac2013","ac",2013,329143705.94
"al2013","al",2013,96279115.05
"am2013","am",2013,378197194.11
"ap2013","ap",2013,67984281
"ba2013","ba",2013,3238955110.26
"ce2013","ce",2013,677055195.53
"df2013","df",2013,1885625209.68
"es2013","es",2013,2057684556.4
"go2013","go",2013,551820568.06
"ma2013","ma",2013,627775594.16
"mg2013","mg",2013,8835556546.66
"ms2013","ms",2013,1315778073.89
"mt2013","mt",2013,1498353533.94
"pa2013","pa",2013,1089044409.13
"pb2013","pb",2013,711546790.2
"pe2013","pe",2013,2780139520.36
"pi2013","pi",2013,742252786.4
"pr2013","pr",2013,4431540447.11
"rj2013","rj",2013,14260373176
"rn2013","rn",2013,1173857183.98
"ro2013","ro",2013,299495108.11
"rr2013","rr",2013,30755704.66
"rs2013","rs",2013,10890020980.28
"sc2013","sc",2013,1137320546.69
"se2013","se",2013,989173074.33
"sp2013","sp",2013,20348316885.69
"to2013","to",2013,495569173.86
"ac2014","ac",2014,422667079.67
"al2014","al",2014,127961325.64
"am2014","am",2014,449623298.76
"ap2014","ap",2014,49074462.78
"ba2014","ba",2014,3537931115.16
"ce2014","ce",2014,860171903.78
"df2014","df",2014,1957775652.16
"es2014","es",2014,1148179612.44
"go2014","go",2014,1675258341.58
"ma2014","ma",2014,812300312.96
"mg2014","mg",2014,9624165642.43
"ms2014","ms",2014,1860261707.78
"mt2014","mt",2014,1691279291.05
"pa2014","pa",2014,1470893452.79
"pb2014","pb",2014,679303000
"pe2014","pe",2014,3721533722.89
"pi2014","pi",2014,1140976995.83
"pr2014","pr",2014,4884072811.01
"rj2014","rj",2014,13834183872
"rn2014","rn",2014,902342115.5
"ro2014","ro",2014,312757549.71
"rr2014","rr",2014,24659589.17
"rs2014","rs",2014,9993824347.54
"sc2014","sc",2014,1308506565.43
"se2014","se",2014,1109635320.51
"sp2014","sp",2014,22337731785.52
"to2014","to",2014,633362617.38
"ac2015","ac",2015,527373698.72
"al2015","al",2015,377558977.67
"am2015","am",2015,509583617.82
"ap2015","ap",2015,75469178.15
"ba2015","ba",2015,3738637135.71
"ce2015","ce",2015,887935568.05
"df2015","df",2015,5366083961.41
"es2015","es",2015,723726440.21
"go2015","go",2015,1975893393.22
"ma2015","ma",2015,953690527.65
"mg2015","mg",2015,11528962363.49
"ms2015","ms",2015,1887816212.93
"mt2015","mt",2015,2046561314.02
"pa2015","pa",2015,1665346779.64
"pb2015","pb",2015,562757759.51
"pe2015","pe",2015,3078071660.62
"pi2015","pi",2015,1421859851.32
"pr2015","pr",2015,4441241494.9
"rj2015","rj",2015,13133493313
"rn2015","rn",2015,1088461522.79
"ro2015","ro",2015,287341834.36
"rr2015","rr",2015,24026670.13
"rs2015","rs",2015,10896436506.79
"sc2015","sc",2015,1578962451.61
"se2015","se",2015,1029212260.54
"sp2015","sp",2015,24698930321.21
"to2015","to",2015,881879816.87
"ac2016","ac",2016,604909322.87
"al2016","al",2016,728843252.1
"am2016","am",2016,599242424.51
"ap2016","ap",2016,65659011.3
"ba2016","ba",2016,4296972917.22
"ce2016","ce",2016,1076601443.44
"df2016","df",2016,4037884865.14
"es2016","es",2016,672511233.88
"go2016","go",2016,1846922120.76
"ma2016","ma",2016,1227684666.05
"mg2016","mg",2016,13012507770.69
"ms2016","ms",2016,2170525835.69
"mt2016","mt",2016,2543542773.6
"pa2016","pa",2016,2002489397.81
"pb2016","pb",2016,573032834.19
"pe2016","pe",2016,3891440128.68
"pi2016","pi",2016,1461482632.27
"pr2016","pr",2016,6659478430.17
"rj2016","rj",2016,4128503864.42
"rn2016","rn",2016,1143563940.88
"ro2016","ro",2016,346844277.82
"rr2016","rr",2016,17053260.92
"rs2016","rs",2016,11685687542.72
"sc2016","sc",2016,2346381480.12
"se2016","se",2016,951729896.54
"sp2016","sp",2016,25995796950.55
"to2016","to",2016,1221192413.57
