id,state,year
ac2008,ac,2008
ac2009,ac,2009
ac2010,ac,2010
ac2011,ac,2011
ac2012,ac,2012
ac2013,ac,2013
ac2014,ac,2014
ac2015,ac,2015
ac2016,ac,2016
al2008,al,2008
al2009,al,2009
al2010,al,2010
al2011,al,2011
al2012,al,2012
al2013,al,2013
al2014,al,2014
al2015,al,2015
al2016,al,2016
am2008,am,2008
am2009,am,2009
am2010,am,2010
am2011,am,2011
am2012,am,2012
am2013,am,2013
am2014,am,2014
am2015,am,2015
am2016,am,2016
ap2008,ap,2008
ap2009,ap,2009
ap2010,ap,2010
ap2011,ap,2011
ap2012,ap,2012
ap2013,ap,2013
ap2014,ap,2014
ap2015,ap,2015
ap2016,ap,2016
ba2008,ba,2008
ba2009,ba,2009
ba2010,ba,2010
ba2011,ba,2011
ba2012,ba,2012
ba2013,ba,2013
ba2014,ba,2014
ba2015,ba,2015
ba2016,ba,2016
ce2008,ce,2008
ce2009,ce,2009
ce2010,ce,2010
ce2011,ce,2011
ce2012,ce,2012
ce2013,ce,2013
ce2014,ce,2014
ce2015,ce,2015
ce2016,ce,2016
df2008,df,2008
df2009,df,2009
df2010,df,2010
df2011,df,2011
df2012,df,2012
df2013,df,2013
df2014,df,2014
df2015,df,2015
df2016,df,2016
es2008,es,2008
es2009,es,2009
es2010,es,2010
es2011,es,2011
es2012,es,2012
es2013,es,2013
es2014,es,2014
es2015,es,2015
es2016,es,2016
go2008,go,2008
go2009,go,2009
go2010,go,2010
go2011,go,2011
go2012,go,2012
go2013,go,2013
go2014,go,2014
go2015,go,2015
go2016,go,2016
ma2008,ma,2008
ma2009,ma,2009
ma2010,ma,2010
ma2011,ma,2011
ma2012,ma,2012
ma2013,ma,2013
ma2014,ma,2014
ma2015,ma,2015
ma2016,ma,2016
mg2008,mg,2008
mg2009,mg,2009
mg2010,mg,2010
mg2011,mg,2011
mg2012,mg,2012
mg2013,mg,2013
mg2014,mg,2014
mg2015,mg,2015
mg2016,mg,2016
ms2008,ms,2008
ms2009,ms,2009
ms2010,ms,2010
ms2011,ms,2011
ms2012,ms,2012
ms2013,ms,2013
ms2014,ms,2014
ms2015,ms,2015
ms2016,ms,2016
mt2008,mt,2008
mt2009,mt,2009
mt2010,mt,2010
mt2011,mt,2011
mt2012,mt,2012
mt2013,mt,2013
mt2014,mt,2014
mt2015,mt,2015
mt2016,mt,2016
pa2008,pa,2008
pa2009,pa,2009
pa2010,pa,2010
pa2011,pa,2011
pa2012,pa,2012
pa2013,pa,2013
pa2014,pa,2014
pa2015,pa,2015
pa2016,pa,2016
pb2008,pb,2008
pb2009,pb,2009
pb2010,pb,2010
pb2011,pb,2011
pb2012,pb,2012
pb2013,pb,2013
pb2014,pb,2014
pb2015,pb,2015
pb2016,pb,2016
pe2008,pe,2008
pe2009,pe,2009
pe2010,pe,2010
pe2011,pe,2011
pe2012,pe,2012
pe2013,pe,2013
pe2014,pe,2014
pe2015,pe,2015
pe2016,pe,2016
pi2008,pi,2008
pi2009,pi,2009
pi2010,pi,2010
pi2011,pi,2011
pi2012,pi,2012
pi2013,pi,2013
pi2014,pi,2014
pi2015,pi,2015
pi2016,pi,2016
pr2008,pr,2008
pr2009,pr,2009
pr2010,pr,2010
pr2011,pr,2011
pr2012,pr,2012
pr2013,pr,2013
pr2014,pr,2014
pr2015,pr,2015
pr2016,pr,2016
rj2008,rj,2008
rj2009,rj,2009
rj2010,rj,2010
rj2011,rj,2011
rj2012,rj,2012
rj2013,rj,2013
rj2014,rj,2014
rj2015,rj,2015
rj2016,rj,2016
rn2008,rn,2008
rn2009,rn,2009
rn2010,rn,2010
rn2011,rn,2011
rn2012,rn,2012
rn2013,rn,2013
rn2014,rn,2014
rn2015,rn,2015
rn2016,rn,2016
ro2008,ro,2008
ro2009,ro,2009
ro2010,ro,2010
ro2011,ro,2011
ro2012,ro,2012
ro2013,ro,2013
ro2014,ro,2014
ro2015,ro,2015
ro2016,ro,2016
rr2008,rr,2008
rr2009,rr,2009
rr2010,rr,2010
rr2011,rr,2011
rr2012,rr,2012
rr2013,rr,2013
rr2014,rr,2014
rr2015,rr,2015
rr2016,rr,2016
rs2008,rs,2008
rs2009,rs,2009
rs2010,rs,2010
rs2011,rs,2011
rs2012,rs,2012
rs2013,rs,2013
rs2014,rs,2014
rs2015,rs,2015
rs2016,rs,2016
sc2008,sc,2008
sc2009,sc,2009
sc2010,sc,2010
sc2011,sc,2011
sc2012,sc,2012
sc2013,sc,2013
sc2014,sc,2014
sc2015,sc,2015
sc2016,sc,2016
se2008,se,2008
se2009,se,2009
se2010,se,2010
se2011,se,2011
se2012,se,2012
se2013,se,2013
se2014,se,2014
se2015,se,2015
se2016,se,2016
sp2008,sp,2008
sp2009,sp,2009
sp2010,sp,2010
sp2011,sp,2011
sp2012,sp,2012
sp2013,sp,2013
sp2014,sp,2014
sp2015,sp,2015
sp2016,sp,2016
to2008,to,2008
to2009,to,2009
to2010,to,2010
to2011,to,2011
to2012,to,2012
to2013,to,2013
to2014,to,2014
to2015,to,2015
to2016,to,2016
